"Country";"Region";"Year";"Birth Rate";"Business Tax Rate";"CO2 Emissions";"Days to Start Business";"Ease of Business";"Energy Usage";"GDP";"Health Exp % GDP";"Health Exp/Capita";"Hours to do Tax";"Infant Mortality Rate";"Internet Usage";"Lending Interest";"Life Expectancy Female";"Life Expectancy Male";"Mobile Phone Usage";"Number of Records";"Population 0-14";"Population 15-64";"Population 65+";"Population Total";"Population Urban";"Tourism Inbound";"Tourism Outbound";"id"
"Austria";"Europe";"12/1/2000";"0.01";"";"63696.00";"19.2308";"";"28558.00";"192070749954.00";"0.10";"2403.00";"";"0.005";"0.30";"";"81";"75";"0.80";"1.00";"0.170";"0.68";"0.16";"8011566.00";"0.66";"11382000000.00";"7001000000.00";90
"Belarus";"Europe";"12/1/2000";"0.01";"";"53469.00";"32.6923";"";"24695.00";"12736856485.00";"0.06";"64.00";"";"0.011";"0.00";"0.677";"75";"63";"0.00";"1.00";"0.186";"0.68";"0.13";"10005000.00";"0.70";"188000000.00";"247000000.00";91
"Belgium";"Europe";"12/1/2000";"0.01";"";"115709.00";"13.4615";"";"58508.00";"232672747374.00";"0.08";"1845.00";"";"0.005";"0.30";"0.080";"81";"75";"0.50";"1.00";"0.176";"0.66";"0.17";"10251250.00";"0.97";"6592000000.00";"9429000000.00";92
"Bosnia and Herzegovina";"Europe";"12/1/2000";"0.01";"";"23223.00";"46.0769";"";"4346.00";"5505984456.00";"0.07";"103.00";"";"0.008";"0.00";"0.305";"77";"72";"0.00";"1.00";"0.202";"0.69";"0.11";"3834364.00";"0.39";"246000000.00";"92000000.00";93
"Bulgaria";"Europe";"12/1/2000";"0.01";"";"43531.00";"21.6154";"";"18688.00";"12903546765.00";"0.06";"98.00";"";"0.018";"0.10";"0.113";"75";"68";"0.10";"1.00";"0.157";"0.68";"0.17";"8170172.00";"0.69";"1364000000.00";"764000000.00";94
"Croatia";"Europe";"12/1/2000";"0.01";"";"19644.00";"15.6154";"";"7790.00";"21517784659.00";"0.08";"377.00";"";"0.007";"0.10";"0.121";"77";"69";"0.20";"1.00";"0.172";"0.67";"0.16";"4426000.00";"0.56";"2871000000.00";"634000000.00";95
"Cyprus";"Europe";"12/1/2000";"0.01";"";"6850.00";"3.07692";"";"2137.00";"9314937556.00";"0.06";"744.00";"";"0.006";"0.20";"0.080";"80";"76";"0.20";"1.00";"0.224";"0.67";"0.10";"943287.00";"0.69";"2137000000.00";"543000000.00";96
"Czech Republic";"Europe";"12/1/2000";"0.01";"";"124649.00";"20.0769";"";"40993.00";"58807244368.00";"0.06";"361.00";"";"0.006";"0.10";"0.072";"78";"72";"0.40";"1.00";"0.165";"0.70";"0.14";"10255063.00";"0.74";"2973000000.00";"1276000000.00";97
"Denmark";"Europe";"12/1/2000";"0.01";"";"47260.00";"4.76923";"";"18634.00";"160082517846.00";"0.09";"2613.00";"";"0.005";"0.40";"0.081";"79";"74";"0.60";"1.00";"0.185";"0.67";"0.15";"5339616.00";"0.85";"3671000000.00";"4669000000.00";98
"Estonia";"Europe";"12/1/2000";"0.01";"";"15181.00";"19.6923";"";"4715.00";"5675697575.00";"0.05";"213.00";"";"0.009";"0.30";"0.074";"76";"65";"0.40";"1.00";"0.180";"0.67";"0.15";"1396985.00";"0.69";"657000000.00";"253000000.00";99
"Faeroe Islands";"Europe";"12/1/2000";"0.00230769";"";"711.00";"0";"";"";"1062339944.00";"";"";"";"";"0.30";"";"82";"76";"0.40";"1.00";"";"";"";"46491.00";"0.36";"";"";100
"Finland";"Europe";"12/1/2000";"0.01";"";"52141.00";"12.0769";"";"32233.00";"121793808734.00";"0.07";"1700.00";"";"0.004";"0.40";"0.056";"81";"74";"0.70";"1.00";"0.182";"0.67";"0.15";"5176209.00";"0.82";"2035000000.00";"2293000000.00";101
"France";"Europe";"12/1/2000";"0.01";"";"365560.00";"8";"";"251981.00";"1326334438917.00";"0.10";"2209.00";"";"0.004";"0.10";"0.067";"83";"75";"0.50";"1.00";"0.189";"0.65";"0.16";"60911057.00";"0.76";"38534000000.00";"26703000000.00";102
"Germany";"Europe";"12/1/2000";"0.01";"";"829978.00";"19.8462";"";"336584.00";"1886401326700.00";"0.10";"2387.00";"";"0.004";"0.30";"0.096";"81";"75";"0.60";"1.00";"0.156";"0.68";"0.16";"82211508.00";"0.73";"24943000000.00";"57601000000.00";103
"Greece";"Europe";"12/1/2000";"0.01";"";"91616.00";"20.7692";"";"27086.00";"124418163928.00";"0.08";"918.00";"";"0.007";"0.10";"0.123";"81";"75";"0.50";"1.00";"0.152";"0.68";"0.17";"10917482.00";"0.73";"9262000000.00";"4564000000.00";104
"Hungary";"Europe";"12/1/2000";"0.01";"";"57238.00";"16.7692";"";"24999.00";"46385589534.00";"0.07";"326.00";"";"0.010";"0.10";"0.126";"76";"67";"0.30";"1.00";"0.168";"0.68";"0.15";"10210971.00";"0.65";"3809000000.00";"1722000000.00";105
"Iceland";"Europe";"12/1/2000";"0.01";"";"2164.00";"3.46154";"";"3100.00";"8697298234.00";"0.10";"2961.00";"";"0.003";"0.40";"0.168";"82";"78";"0.80";"1.00";"0.233";"0.65";"0.12";"281205.00";"0.92";"386000000.00";"471000000.00";106
"Ireland";"Europe";"12/1/2000";"0.01";"";"41345.00";"10.9231";"";"13574.00";"97331522066.00";"0.06";"1572.00";"";"0.006";"0.20";"0.048";"79";"74";"0.60";"1.00";"0.218";"0.67";"0.11";"3805174.00";"0.59";"3517000000.00";"2626000000.00";107
"Italy";"Europe";"12/1/2000";"0.01";"";"451441.00";"8.69231";"";"171522.00";"1104009462562.00";"0.08";"1527.00";"";"0.005";"0.20";"0.070";"83";"77";"0.70";"1.00";"0.143";"0.67";"0.18";"56942108.00";"0.67";"28706000000.00";"18169000000.00";109
"Latvia";"Europe";"12/1/2000";"0.01";"";"6241.00";"12.3077";"";"3832.00";"7833068425.00";"0.06";"197.00";"";"0.015";"0.10";"0.119";"76";"65";"0.20";"1.00";"0.179";"0.67";"0.15";"2367550.00";"0.68";"172000000.00";"281000000.00";111
"Lithuania";"Europe";"12/1/2000";"0.01";"";"12200.00";"18.9231";"";"7131.00";"11434200000.00";"0.07";"212.00";"";"0.010";"0.10";"0.121";"78";"67";"0.20";"1.00";"0.199";"0.66";"0.14";"3499536.00";"0.67";"430000000.00";"261000000.00";113
"Luxembourg";"Europe";"12/1/2000";"0.01";"";"8240.00";"12.2308";"";"3335.00";"20267551133.00";"0.08";"3495.00";"";"0.004";"0.20";"";"81";"75";"0.70";"1.00";"0.189";"0.67";"0.14";"436300.00";"0.84";"1686000000.00";"1309000000.00";114
"Macedonia, FYR";"Europe";"12/1/2000";"0.01";"";"12064.00";"15.2308";"";"2668.00";"3586883989.00";"0.09";"153.00";"";"0.014";"0.00";"0.189";"76";"71";"0.10";"1.00";"0.224";"0.68";"0.10";"2052129.00";"0.59";"88000000.00";"58000000.00";115
"Malta";"Europe";"12/1/2000";"0.01";"";"2065.00";"6.15385";"";"676.00";"3957418083.00";"0.07";"643.00";"";"0.007";"0.10";"0.073";"80";"76";"0.30";"1.00";"0.207";"0.69";"0.11";"381363.00";"0.92";"731000000.00";"224000000.00";116
"Moldova";"Europe";"12/1/2000";"0.01";"";"3513.00";"16";"";"2883.00";"1288420223.00";"0.07";"24.00";"";"0.025";"0.00";"0.338";"71";"63";"0.00";"1.00";"0.237";"0.66";"0.10";"3639592.00";"0.46";"57000000.00";"86000000.00";117
"Montenegro";"Europe";"12/1/2000";"0.01";"";"1065.15";"8.53846";"";"";"984279596.00";"0.08";"121.00";"";"0.013";"";"";"77";"71";"";"1.00";"0.213";"0.67";"0.11";"611196.00";"0.59";"";"";119
"Netherlands";"Europe";"12/1/2000";"0.01";"";"165363.00";"6.15385";"";"73223.00";"385074626866.00";"0.08";"1932.00";"";"0.005";"0.40";"0.048";"81";"76";"0.70";"1.00";"0.186";"0.68";"0.14";"15925513.00";"0.77";"11285000000.00";"13649000000.00";120
"Norway";"Europe";"12/1/2000";"0.01";"";"38808.00";"7.15385";"";"26092.00";"168288531891.00";"0.09";"3432.00";"";"0.004";"0.50";"0.089";"81";"76";"0.70";"1.00";"0.200";"0.65";"0.15";"4490967.00";"0.76";"2521000000.00";"4893000000.00";121
"Poland";"Europe";"12/1/2000";"0.01";"";"301691.00";"24.1538";"";"89116.00";"171276118424.00";"0.06";"247.00";"";"0.008";"0.10";"0.200";"78";"70";"0.20";"1.00";"0.194";"0.68";"0.12";"38258629.00";"0.62";"6128000000.00";"3417000000.00";122
"Portugal";"Europe";"12/1/2000";"0.01";"";"62966.00";"18.9231";"";"24673.00";"117299520914.00";"0.09";"1070.00";"";"0.006";"0.20";"";"80";"73";"0.60";"1.00";"0.162";"0.68";"0.16";"10289898.00";"0.54";"6027000000.00";"2754000000.00";123
"Romania";"Europe";"12/1/2000";"0.01";"";"89985.00";"10.6923";"";"36228.00";"37305099928.00";"0.04";"72.00";"";"0.023";"0.00";"0.539";"75";"68";"0.10";"1.00";"0.186";"0.68";"0.13";"22442971.00";"0.53";"394000000.00";"447000000.00";124
"Russian Federation";"Europe";"12/1/2000";"0.01";"";"1558112.00";"22.6154";"";"619265.00";"259708496267.00";"0.05";"96.00";"";"0.020";"0.00";"0.244";"72";"59";"0.00";"1.00";"0.182";"0.69";"0.12";"146596870.00";"0.73";"3429000000.00";"8848000000.00";125
"Serbia";"Europe";"12/1/2000";"0.01";"";"19229.8";"19.6154";"";"13728.00";"6082791506.00";"0.07";"51.00";"";"0.011";"";"0.063";"75";"70";"";"1.00";"0.202";"0.67";"0.13";"7516346.00";"0.53";"";"";127
"Slovak Republic";"Europe";"12/1/2000";"0.01";"";"37312.00";"24.7692";"";"17743.00";"28724041828.00";"0.06";"208.00";"";"0.010";"0.10";"0.149";"77";"69";"0.20";"1.00";"0.197";"0.69";"0.11";"5388720.00";"0.56";"441000000.00";"341000000.00";128
"Slovenia";"Europe";"12/1/2000";"0.01";"";"14265.00";"26.3846";"";"6413.00";"19979467790.00";"0.08";"831.00";"";"0.005";"0.20";"0.158";"79";"72";"0.60";"1.00";"0.159";"0.70";"0.14";"1988925.00";"0.51";"1016000000.00";"544000000.00";129
"Spain";"Europe";"12/1/2000";"0.01";"";"294434.00";"43.5385";"";"121856.00";"580345494748.00";"0.07";"1045.00";"";"0.005";"0.10";"0.052";"83";"76";"0.60";"1.00";"0.148";"0.68";"0.17";"40263216.00";"0.76";"32656000000.00";"7710000000.00";130
"Sweden";"Europe";"12/1/2000";"0.01";"";"49794.00";"12.3077";"";"47556.00";"247260155858.00";"0.08";"2282.00";"";"0.003";"0.50";"0.058";"82";"77";"0.70";"1.00";"0.184";"0.64";"0.17";"8872109.00";"0.84";"4825000000.00";"8959000000.00";131
"Switzerland";"Europe";"12/1/2000";"0.01";"";"39050.00";"14";"";"25005.00";"256042925982.00";"0.10";"3541.00";"";"0.005";"0.50";"0.043";"83";"77";"0.60";"1.00";"0.174";"0.67";"0.15";"7184250.00";"0.73";"8988000000.00";"7360000000.00";132
"Turkey";"Europe";"12/1/2000";"0.02";"";"216148.00";"7.07692";"";"76348.00";"266567532726.00";"0.05";"196.00";"";"0.034";"0.00";"";"74";"66";"0.30";"1.00";"0.307";"0.63";"0.06";"63174483.00";"0.65";"7636000000.00";"1713000000.00";133
"Ukraine";"Europe";"12/1/2000";"0.01";"";"320774.00";"22.6923";"";"133794.00";"31261527363.00";"0.06";"36.00";"";"0.016";"0.00";"0.415";"74";"62";"0.00";"1.00";"0.175";"0.69";"0.14";"49175848.00";"0.67";"563000000.00";"561000000.00";134
"United Kingdom";"Europe";"12/1/2000";"0.01";"";"543662.00";"9.69231";"";"222940.00";"1493628385535.00";"0.07";"1761.00";"";"0.006";"0.30";"0.060";"80";"75";"0.70";"1.00";"0.190";"0.65";"0.16";"58892514.00";"0.79";"29978000000.00";"47009000000.00";135
"Bahrain";"Middle East";"12/1/2000";"0.02";"";"18643.00";"4.15385";"";"5865.00";"9063147901.00";"0.04";"476.00";"";"0.011";"0.10";"0.116";"76";"74";"0.30";"1.00";"0.308";"0.67";"0.02";"668239.00";"0.88";"854000000.00";"425000000.00";136
"Iran, Islamic Rep.";"Middle East";"12/1/2000";"0.02";"";"372703.00";"16.6923";"";"122983.00";"101286514977.00";"0.05";"231.00";"";"0.029";"0.00";"";"71";"69";"0.00";"1.00";"0.347";"0.61";"0.04";"65911052.00";"0.64";"677000000.00";"671000000.00";137
"Iraq";"Middle East";"12/1/2000";"0.04";"";"72445.00";"25.3846";"";"25937.00";"";"0.01";"7.00";"";"0.036";"";"";"73";"69";"";"1.00";"0.428";"0.54";"0.04";"23801156.00";"0.69";"2000000.00";"9000000.00";138
"Israel";"Middle East";"12/1/2000";"0.02";"";"62691.00";"15.4615";"";"18234.00";"124895151203.00";"0.07";"1454.00";"";"0.006";"0.20";"0.128";"81";"77";"0.70";"1.00";"0.281";"0.62";"0.10";"6289000.00";"0.91";"4611000000.00";"3733000000.00";139
"Jordan";"Middle East";"12/1/2000";"0.03";"";"15508.00";"16.2308";"";"4864.00";"8457923945.00";"0.10";"171.00";"";"0.023";"0.00";"0.118";"73";"70";"0.10";"1.00";"0.394";"0.58";"0.03";"4797000.00";"0.80";"935000000.00";"387000000.00";140
"Kuwait";"Middle East";"12/1/2000";"0.02";"";"55181.00";"26.4615";"";"18805.00";"37718011469.00";"0.03";"494.00";"";"0.011";"0.10";"0.089";"74";"72";"0.30";"1.00";"0.257";"0.71";"0.03";"1906231.00";"0.98";"394000000.00";"2852000000.00";141
"Lebanon";"Middle East";"12/1/2000";"0.02";"";"15354.00";"21.3077";"";"4907.00";"17260364842.00";"0.11";"579.00";"";"0.017";"0.10";"0.182";"76";"73";"0.20";"1.00";"0.286";"0.64";"0.07";"3235380.00";"0.86";"742000000.00";"";142
"Oman";"Middle East";"12/1/2000";"0.02";"";"21896.00";"17.6154";"";"8083.00";"19867880550.00";"0.03";"264.00";"";"0.014";"0.00";"0.101";"74";"70";"0.10";"1.00";"0.372";"0.61";"0.02";"2192535.00";"0.72";"377000000.00";"629000000.00";143
"Qatar";"Middle East";"12/1/2000";"0.02";"";"34730.00";"3.76923";"";"10876.00";"17759889598.00";"0.02";"652.00";"";"0.011";"0.00";"";"78";"76";"0.20";"1.00";"0.259";"0.72";"0.02";"593693.00";"0.96";"128000000.00";"307000000.00";144
"Saudi Arabia";"Middle East";"12/1/2000";"0.03";"";"296935.00";"29.3077";"";"101325.00";"188441864875.00";"0.04";"398.00";"";"0.019";"0.00";"";"74";"71";"0.10";"1.00";"0.384";"0.58";"0.04";"20144584.00";"0.80";"";"";145
"Syrian Arab Republic";"Middle East";"12/1/2000";"0.03";"";"51048.00";"21.9231";"";"15765.00";"19325894913.00";"0.05";"59.00";"";"0.020";"0.00";"0.090";"75";"72";"0.00";"1.00";"0.408";"0.56";"0.03";"16371208.00";"0.52";"1082000000.00";"669000000.00";146
"United Arab Emirates";"Middle East";"12/1/2000";"0.02";"";"112562.00";"12.5385";"";"33944.00";"104337375343.00";"0.02";"752.00";"";"0.010";"0.20";"0.097";"75";"73";"0.50";"1.00";"0.254";"0.74";"0.01";"3026352.00";"0.80";"1063000000.00";"3019000000.00";147
"Yemen, Rep.";"Middle East";"12/1/2000";"0.04";"";"14639.00";"31.7692";"";"4747.00";"9636342275.00";"0.04";"25.00";"";"0.069";"0.00";"0.195";"62";"59";"0.00";"1.00";"0.486";"0.49";"0.03";"17522537.00";"0.26";"73000000.00";"127000000.00";148
"Australia";"Oceania";"12/1/2000";"0.01";"";"329605.00";"2.30769";"";"108110.00";"415208189412.00";"0.08";"1713.00";"";"0.005";"0.50";"0.093";"82";"77";"0.40";"1.00";"0.207";"0.67";"0.12";"19153000.00";"0.87";"13016000000.00";"8780000000.00";150
"Fiji";"Oceania";"12/1/2000";"0.03";"";"865.00";"36.1538";"";"";"1684109743.00";"0.04";"80.00";"";"0.021";"0.00";"0.084";"70";"65";"0.10";"1.00";"0.351";"0.62";"0.03";"811647.00";"0.48";"291000000.00";"96000000.00";151
"French Polynesia";"Oceania";"12/1/2000";"0.02";"";"631.00";"0";"";"";"3447543138.00";"";"";"";"";"0.10";"";"75";"70";"0.20";"1.00";"0.318";"0.64";"0.04";"237267.00";"0.56";"";"";152
"Kiribati";"Oceania";"12/1/2000";"0.03";"";"33.00";"22.3077";"";"";"67512715.00";"0.08";"65.00";"";"0.054";"0.00";"";"68";"62";"0.00";"1.00";"0.399";"0.57";"0.03";"82788.00";"0.43";"2700000.00";"";154
"Marshall Islands";"Oceania";"12/1/2000";"0.00923077";"";"77.00";"13.0769";"";"";"110937729.00";"0.23";"466.00";"";"0.034";"0.00";"";"68";"63";"0.00";"1.00";"";"";"";"52161.00";"0.68";"3000000.00";"200000.00";155
"Micronesia, Fed. Sts.";"Oceania";"12/1/2000";"0.03";"";"136.00";"12.3077";"";"";"233226323.00";"0.08";"170.00";"";"0.042";"0.00";"0.153";"68";"67";"";"1.00";"0.403";"0.56";"0.04";"107430.00";"0.22";"17000000.00";"5000000.00";156
"New Caledonia";"Oceania";"12/1/2000";"0.02";"";"2299.00";"0";"";"";"2682347064.00";"";"";"";"";"0.10";"";"78";"72";"0.20";"1.00";"0.287";"0.65";"0.06";"213230.00";"0.62";"111000000.00";"";157
"New Zealand";"Oceania";"12/1/2000";"0.02";"";"32897.00";"5";"";"17056.00";"52011621745.00";"0.08";"1052.00";"";"0.006";"0.50";"0.078";"81";"76";"0.40";"1.00";"0.227";"0.66";"0.12";"3857700.00";"0.86";"2272000000.00";"1235000000.00";158
"Papua New Guinea";"Oceania";"12/1/2000";"0.04";"";"2688.00";"39.3846";"";"";"3521348155.00";"0.04";"26.00";"";"0.058";"0.00";"0.175";"61";"57";"0.00";"1.00";"0.402";"0.57";"0.03";"5379226.00";"0.13";"7000000.00";"50000000.00";159
"Samoa";"Oceania";"12/1/2000";"0.03";"";"139.00";"20";"";"";"239698992.00";"0.06";"80.00";"";"0.019";"0.00";"";"73";"66";"0.00";"1.00";"0.407";"0.55";"0.05";"174614.00";"0.22";"41000000.00";"";160
"Solomon Islands";"Oceania";"12/1/2000";"0.04";"";"165.00";"38.3846";"";"";"435101217.00";"0.05";"48.00";"";"0.028";"0.00";"0.146";"64";"62";"0.00";"1.00";"0.419";"0.55";"0.03";"412336.00";"0.16";"4000000.00";"12200000.00";161
"Tonga";"Oceania";"12/1/2000";"0.03";"";"121.00";"20.5385";"";"";"188623258.00";"0.05";"92.00";"";"0.015";"0.00";"0.113";"73";"69";"0.00";"1.00";"0.384";"0.56";"0.06";"97962.00";"0.23";"7000000.00";"";162
"Vanuatu";"Oceania";"12/1/2000";"0.03";"";"81.00";"33.6923";"";"";"272014693.00";"0.04";"52.00";"";"0.020";"0.00";"0.099";"69";"66";"0.00";"1.00";"0.415";"0.55";"0.03";"185058.00";"0.22";"69000000.00";"9000000.00";163
"Antigua and Barbuda";"The Americas";"12/1/2000";"0.02";"";"345.00";"13.6923";"";"";"787693391.00";"0.04";"408.00";"";"0.014";"0.10";"0.122";"76";"71";"0.30";"1.00";"0.292";"0.64";"0.07";"77648.00";"0.32";"291000000.00";"31000000.00";164
"Argentina";"The Americas";"12/1/2000";"0.02";"";"141077.00";"24.4615";"";"60954.00";"344272910000.00";"0.09";"710.00";"";"0.018";"0.10";"0.111";"78";"70";"0.20";"1.00";"0.279";"0.62";"0.10";"36903067.00";"0.89";"3195000000.00";"5460000000.00";165
"Aruba";"The Americas";"12/1/2000";"0.01";"";"2233.00";"0";"";"";"1873452514.00";"";"";"";"";"0.20";"0.121";"76";"71";"0.20";"1.00";"0.232";"0.69";"0.08";"90858.00";"0.47";"850000000.00";"163000000.00";166
"Bahamas, The";"The Americas";"12/1/2000";"0.02";"";"1668.00";"12.6923";"";"";"6327552000.00";"0.05";"1107.00";"";"0.013";"0.10";"0.060";"75";"69";"0.10";"1.00";"0.293";"0.65";"0.05";"297759.00";"0.82";"1753000000.00";"348000000.00";167
"Barbados";"The Americas";"12/1/2000";"0.01";"";"1188.00";"2.76923";"";"";"3119500000.00";"0.06";"602.00";"";"0.015";"0.00";"0.102";"75";"71";"0.10";"1.00";"0.219";"0.67";"0.12";"267190.00";"0.34";"733000000.00";"141000000.00";168
"Belize";"The Americas";"12/1/2000";"0.03";"";"689.00";"27.2308";"";"";"831750000.00";"0.04";"139.00";"";"0.021";"0.10";"0.160";"74";"67";"0.10";"1.00";"0.402";"0.56";"0.04";"238586.00";"0.48";"111000000.00";"44000000.00";169
"Bermuda";"The Americas";"12/1/2000";"0.01";"";"495.00";"0";"";"";"3480219000.00";"";"";"";"";"0.40";"";"81";"75";"0.20";"1.00";"";"";"";"61833.00";"1.00";"431000000.00";"";170
"Bolivia";"The Americas";"12/1/2000";"0.03";"";"10224.00";"39.7692";"";"3737.00";"8397858185.00";"0.06";"60.00";"";"0.057";"0.00";"0.346";"65";"61";"0.10";"1.00";"0.398";"0.56";"0.04";"8495271.00";"0.62";"101000000.00";"116000000.00";171
"Brazil";"The Americas";"12/1/2000";"0.02";"";"327984.00";"106.077";"";"187442.00";"644701831101.00";"0.07";"265.00";"";"0.029";"0.00";"0.568";"74";"67";"0.10";"1.00";"0.296";"0.65";"0.06";"174504898.00";"0.81";"1969000000.00";"4548000000.00";172
"Canada";"The Americas";"12/1/2000";"0.01";"";"534484.00";"3.07692";"";"251450.00";"739455928894.00";"0.09";"2090.00";"";"0.005";"0.50";"0.073";"82";"77";"0.30";"1.00";"0.192";"0.68";"0.13";"30769700.00";"0.80";"13035000000.00";"15125000000.00";173
"Cayman Islands";"The Americas";"12/1/2000";"0.00615385";"";"455.00";"0";"";"";"";"";"";"";"";"";"";"";"";"0.30";"1.00";"";"";"";"41685.00";"1.00";"559000000.00";"";174
"Chile";"The Americas";"12/1/2000";"0.02";"";"58694.00";"17.4615";"";"25174.00";"79328640264.00";"0.08";"390.00";"";"0.009";"0.20";"0.148";"80";"74";"0.20";"1.00";"0.278";"0.65";"0.07";"15454402.00";"0.86";"1179000000.00";"904000000.00";175
"Colombia";"The Americas";"12/1/2000";"0.02";"";"57924.00";"25.2308";"";"25814.00";"99886577576.00";"0.06";"148.00";"";"0.021";"0.00";"0.188";"75";"67";"0.10";"1.00";"0.328";"0.62";"0.05";"39897984.00";"0.72";"1313000000.00";"1452000000.00";176
"Costa Rica";"The Americas";"12/1/2000";"0.02";"";"5475.00";"52.6923";"";"2874.00";"15946443103.00";"0.07";"287.00";"";"0.011";"0.10";"0.249";"80";"75";"0.10";"1.00";"0.315";"0.63";"0.06";"3929588.00";"0.59";"1477000000.00";"551000000.00";177
"Cuba";"The Americas";"12/1/2000";"0.01";"";"26039.00";"0";"";"12859.00";"30565200000.00";"0.06";"166.00";"";"0.007";"0.00";"";"79";"75";"0.00";"1.00";"0.216";"0.69";"0.10";"11138416.00";"0.75";"1948000000.00";"";178
"Dominica";"The Americas";"12/1/2000";"0.00384615";"";"103.00";"8.07692";"";"";"324463833.00";"0.05";"231.00";"";"0.014";"0.10";"0.117";"";"";"0.00";"1.00";"";"";"";"69679.00";"0.65";"48000000.00";"9000000.00";180
"Dominican Republic";"The Americas";"12/1/2000";"0.03";"";"20117.00";"31.6154";"";"7499.00";"23996656676.00";"0.06";"173.00";"";"0.033";"0.00";"0.268";"74";"68";"0.10";"1.00";"0.349";"0.60";"0.05";"8663421.00";"0.62";"2860000000.00";"440000000.00";181
"Ecuador";"The Americas";"12/1/2000";"0.03";"";"20942.00";"52.3077";"";"7815.00";"18327386416.00";"0.04";"53.00";"";"0.028";"0.00";"0.171";"76";"71";"0.00";"1.00";"0.345";"0.60";"0.05";"12533087.00";"0.60";"451000000.00";"416000000.00";182
"El Salvador";"The Americas";"12/1/2000";"0.03";"";"5743.00";"31";"";"3968.00";"13134100000.00";"0.08";"179.00";"";"0.027";"0.00";"0.140";"74";"65";"0.10";"1.00";"0.383";"0.56";"0.06";"5958794.00";"0.59";"437000000.00";"219000000.00";183
"Greenland";"The Americas";"12/1/2000";"0.02";"";"532.00";"0";"";"";"1068024994.00";"";"";"";"";"0.30";"";"70";"64";"0.30";"1.00";"";"";"";"56200.00";"0.82";"";"";184
"Grenada";"The Americas";"12/1/2000";"0.02";"";"191.00";"11.1538";"";"";"523256355.00";"0.07";"339.00";"";"0.014";"0.00";"0.116";"73";"68";"0.00";"1.00";"0.350";"0.57";"0.08";"101620.00";"0.36";"93000000.00";"8000000.00";185
"Guatemala";"The Americas";"12/1/2000";"0.04";"";"9916.00";"28.1538";"";"7041.00";"19290566570.00";"0.06";"96.00";"";"0.040";"0.00";"0.209";"71";"64";"0.10";"1.00";"0.441";"0.52";"0.04";"11204183.00";"0.45";"498000000.00";"216000000.00";186
"Guyana";"The Americas";"12/1/2000";"0.02";"";"1610.00";"23";"";"";"712667925.00";"0.06";"56.00";"";"0.039";"0.10";"0.173";"67";"60";"0.10";"1.00";"0.354";"0.60";"0.05";"744471.00";"0.29";"80000000.00";"77000000.00";187
"Haiti";"The Americas";"12/1/2000";"0.03";"";"1368.00";"131.923";"";"2010.00";"3664503846.00";"0.06";"26.00";"";"0.075";"0.00";"0.314";"59";"56";"0.00";"1.00";"0.403";"0.56";"0.04";"8578234.00";"0.36";"128000000.00";"173000000.00";188
"Honduras";"The Americas";"12/1/2000";"0.03";"";"5031.00";"25.1538";"";"2990.00";"7105529647.00";"0.07";"76.00";"";"0.031";"0.00";"0.268";"73";"68";"0.00";"1.00";"0.424";"0.54";"0.04";"6235561.00";"0.46";"263000000.00";"198000000.00";189
"Jamaica";"The Americas";"12/1/2000";"0.02";"";"10319.00";"9.53846";"";"3829.00";"9008629729.00";"0.06";"189.00";"";"0.020";"0.00";"0.233";"73";"68";"0.10";"1.00";"0.327";"0.60";"0.08";"2589389.00";"0.52";"1577000000.00";"238000000.00";190
"Mexico";"The Americas";"12/1/2000";"0.02";"";"381518.00";"21.5385";"";"145384.00";"683647980782.00";"0.05";"328.00";"";"0.022";"0.10";"0.169";"77";"72";"0.10";"1.00";"0.341";"0.61";"0.05";"103873607.00";"0.75";"9133000000.00";"6365000000.00";191
"Nicaragua";"The Americas";"12/1/2000";"0.03";"";"3762.00";"30.5385";"";"2522.00";"5107329010.00";"0.05";"54.00";"";"0.033";"0.00";"0.181";"72";"67";"0.00";"1.00";"0.409";"0.55";"0.04";"5100920.00";"0.55";"129000000.00";"126000000.00";192
"Panama";"The Americas";"12/1/2000";"0.02";"";"5790.00";"10.6154";"";"2569.00";"11620500000.00";"0.08";"295.00";"";"0.022";"0.10";"0.105";"78";"73";"0.10";"1.00";"0.321";"0.62";"0.06";"3054812.00";"0.62";"628000000.00";"241000000.00";193
"Paraguay";"The Americas";"12/1/2000";"0.03";"";"3689.00";"38.9231";"";"3850.00";"8195993231.00";"0.08";"124.00";"";"0.028";"0.00";"0.268";"72";"68";"0.20";"1.00";"0.382";"0.57";"0.04";"5350253.00";"0.55";"88000000.00";"154000000.00";194
"Peru";"The Americas";"12/1/2000";"0.02";"";"30297.00";"48";"";"12222.00";"50681123109.00";"0.05";"96.00";"";"0.030";"0.00";"0.300";"73";"68";"0.00";"1.00";"0.341";"0.61";"0.05";"26000080.00";"0.73";"861000000.00";"641000000.00";195
"Puerto Rico";"The Americas";"12/1/2000";"0.02";"";"0";"5.23077";"";"";"61701810000.00";"";"";"";"";"0.10";"";"81";"73";"0.30";"1.00";"0.236";"0.65";"0.11";"3810605.00";"0.94";"2388000000.00";"1333000000.00";196
"St. Kitts and Nevis";"The Americas";"12/1/2000";"0.00307692";"";"103.00";"11.6923";"";"";"416566954.00";"0.04";"392.00";"";"0.014";"0.10";"0.111";"";"";"0.00";"1.00";"";"";"";"45544.00";"0.33";"58000000.00";"9000000.00";198
